Class,Algorithm,Total Goals,Covered Goals,Mutation Score,Time Taken (s),Generations,Statements,Run
SortBubble,CELLULAR_GA,7,7,14,1,0,3678,1
SortBubble,CELLULAR_GA,7,7,14,0,0,3792,2
SortBubble,CELLULAR_GA,7,7,14,0,0,3336,3
SortBubble,CELLULAR_GA,7,7,0,1,0,3724,4
SortBubble,CELLULAR_GA,7,7,14,1,0,4034,5
SortBubble,CELLULAR_GA,7,7,14,1,0,4004,6
SortBubble,CELLULAR_GA,7,7,14,1,0,4128,7
SortBubble,CELLULAR_GA,7,7,14,0,0,3325,8
SortBubble,CELLULAR_GA,7,7,7,1,0,4221,9
SortBubble,CELLULAR_GA,7,7,14,1,0,3687,10
SortBubble,MONOTONIC_GA,7,7,14,1,0,3200,1
SortBubble,MONOTONIC_GA,7,7,14,0,0,3925,2
SortBubble,MONOTONIC_GA,7,7,14,0,0,3545,3
SortBubble,MONOTONIC_GA,7,7,14,0,0,3984,4
SortBubble,MONOTONIC_GA,7,7,14,0,0,3782,5
SortBubble,MONOTONIC_GA,7,7,14,0,0,3407,6
SortBubble,MONOTONIC_GA,7,7,14,0,0,3355,7
SortBubble,MONOTONIC_GA,7,7,14,1,0,3654,8
SortBubble,MONOTONIC_GA,7,7,14,1,0,3460,9
SortBubble,MONOTONIC_GA,7,7,14,1,0,3499,10
SortBubble,RANDOM_SEARCH,7,7,14,2,482,4854,1
SortBubble,RANDOM_SEARCH,7,7,14,1,200,3040,2
SortBubble,RANDOM_SEARCH,7,7,14,1,2,358,3
SortBubble,RANDOM_SEARCH,7,7,14,0,8,798,4
SortBubble,RANDOM_SEARCH,7,7,14,0,34,753,5
SortBubble,RANDOM_SEARCH,7,7,14,1,288,3690,6
SortBubble,RANDOM_SEARCH,7,7,14,0,1,144,7
SortBubble,RANDOM_SEARCH,7,7,14,0,8,352,8
SortBubble,RANDOM_SEARCH,7,7,14,0,108,2145,9
SortBubble,RANDOM_SEARCH,7,7,14,0,79,1407,10
Triangle,CELLULAR_GA,18,18,73,65,0,3309,1
Triangle,CELLULAR_GA,18,18,72,62,0,3212,2
Triangle,CELLULAR_GA,18,18,70,63,0,3248,3
Triangle,CELLULAR_GA,18,18,80,61,0,3232,4
Triangle,CELLULAR_GA,18,18,70,65,0,3395,5
Triangle,CELLULAR_GA,18,18,75,64,0,3244,6
Triangle,CELLULAR_GA,18,18,73,63,0,3152,7
Triangle,CELLULAR_GA,18,18,79,64,0,3246,8
Triangle,CELLULAR_GA,18,18,74,61,0,3168,9
Triangle,CELLULAR_GA,18,18,70,61,0,3157,10
Triangle,MONOTONIC_GA,18,18,72,64,0,3270,1
Triangle,MONOTONIC_GA,18,18,71,65,0,3364,2
Triangle,MONOTONIC_GA,18,18,67,62,0,3219,3
Triangle,MONOTONIC_GA,18,18,74,64,0,3235,4
Triangle,MONOTONIC_GA,18,18,76,62,0,3161,5
Triangle,MONOTONIC_GA,18,18,71,62,0,3198,6
Triangle,MONOTONIC_GA,18,16,64,62,0,3203,7
Triangle,MONOTONIC_GA,18,18,72,62,0,3067,8
Triangle,MONOTONIC_GA,18,18,75,65,0,3124,9
Triangle,MONOTONIC_GA,18,18,75,64,0,3132,10
Triangle,RANDOM_SEARCH,18,18,69,61,202,3108,1
Triangle,RANDOM_SEARCH,18,18,70,61,463,3318,2
Triangle,RANDOM_SEARCH,18,18,72,62,161,3035,3
Triangle,RANDOM_SEARCH,18,18,71,61,292,2917,4
Triangle,RANDOM_SEARCH,18,18,70,61,299,3188,5
Triangle,RANDOM_SEARCH,18,18,72,61,379,2940,6
Triangle,RANDOM_SEARCH,18,18,70,61,393,3113,7
Triangle,RANDOM_SEARCH,18,18,72,61,446,3265,8
Triangle,RANDOM_SEARCH,18,18,74,61,270,3304,9
Triangle,RANDOM_SEARCH,18,18,70,19,53,894,10
